timestamp,chisel_pink_1_x,chisel_pink_1_y,chisel_pink_2_x,chisel_pink_2_y,hammer_yellow_x,hammer_yellow_y,chisel_pink_1_confidence,chisel_pink_2_confidence,hammer_yellow_confidence,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1738061312.0757327,176,191,442,241,1,1,469,342,1,,,,,,
1738061312.123933,440,244,179,177,1,1,469,342,1,,,,,,
1738061312.1760507,436,250,182,162,1,1,468,342,1,,,,,,
1738061312.2238963,435,258,188,146,1,1,467,342,1,,,,,,
1738061312.2757123,433,268,197,133,1,1,466,341,1,,,,,,
1738061312.3277833,429,278,207,115,1,1,465,342,1,,,,,,
1738061312.37573,424,290,223,105,1,1,465,342,1,,,,,,
1738061312.4237204,413,295,,,1,0,466,341,1,,,,,,
1738061312.6474652,411,311,,,1,0,464,342,1,,,,,,
1738061312.7523015,405,320,,,1,0,465,343,1,,,,,,
1738061312.7763255,399,330,,,1,0,464,342,1,,,,,,
1738061312.8062875,391,338,,,1,0,463,342,1,,,,,,
1738061312.840325,,,,,0,0,463,343,1,,,,,,
1738061312.8575974,402,353,405,361,1,1,463,343,1,,,,,,
1738061312.9189909,405,345,,,1,0,461,341,1,,,,,,
1738061312.9558754,403,335,,,1,0,456,341,1,,,,,,
1738061312.9755678,395,325,199,160,1,1,450,338,1,,,,,,
1738061313.0253074,383,318,173,173,1,1,442,336,1,,,,,,
1738061313.0767014,367,313,155,190,1,1,436,332,1,,,,,,
1738061313.1241088,351,310,126,202,1,1,426,329,1,,,,,,
1738061313.1757057,332,310,,,1,0,421,326,1,,,,,,
1738061313.2237208,316,314,,,1,0,416,322,1,,,,,,
1738061313.275642,301,320,,,1,0,412,318,1,,,,,,
1738061313.3236175,288,326,,,1,0,405,319,1,,,,,,
1738061313.3756592,278,336,,,1,0,396,321,1,,,,,,
1738061313.4237437,270,343,,,1,0,391,321,1,,,,,,
1738061313.4756603,263,349,,,1,0,384,321,1,,,,,,
1738061313.5236096,258,353,,,1,0,378,323,1,,,,,,
1738061313.575722,253,355,,,1,0,374,323,1,,,,,,
1738061313.623538,251,357,,,1,0,370,322,1,,,,,,
1738061313.6766276,249,358,,,1,0,367,321,1,,,,,,
1738061313.72821,248,358,,,1,0,366,321,1,,,,,,
1738061313.7757895,246,359,,,1,0,364,321,1,,,,,,
1738061313.8275175,246,359,,,1,0,363,321,1,,,,,,
1738061313.8759027,246,359,,,1,0,362,321,1,,,,,,
1738061313.928119,248,360,,,1,0,361,320,1,,,,,,
1738061313.9754689,248,360,,,1,0,359,320,1,,,,,,
1738061314.0280201,250,362,,,1,0,357,320,1,,,,,,
1738061314.0758018,249,363,,,1,0,356,320,1,,,,,,
1738061314.127746,249,366,,,1,0,356,320,1,,,,,,
1738061314.1761074,246,367,,,1,0,354,321,1,,,,,,
1738061314.2280996,245,369,,,1,0,354,320,1,,,,,,
1738061314.2761393,243,369,,,1,0,352,321,1,,,,,,
1738061314.3287876,242,369,,,1,0,352,321,1,,,,,,
1738061314.3761415,240,368,,,1,0,352,321,1,,,,,,
1738061314.4278886,239,367,,,1,0,350,321,1,,,,,,
